date,close
2017.08.14,"2,250,000"
2017.08.11,"2,231,000"
2017.08.10,"2,295,000"
2017.08.09,"2,314,000"
2017.08.08,"2,386,000"
2017.08.07,"2,379,000"
2017.08.04,"2,385,000"
2017.08.03,"2,389,000"
2017.08.02,"2,450,000"
2017.08.01,"2,430,000"
2017.07.31,"2,410,000"
2017.07.28,"2,388,000"
2017.07.27,"2,490,000"
2017.07.26,"2,492,000"
2017.07.25,"2,500,000"
2017.07.24,"2,543,000"
2017.07.21,"2,554,000"
2017.07.20,"2,560,000"
2017.07.19,"2,537,000"
2017.07.18,"2,542,000"
2017.07.17,"2,532,000"
2017.07.14,"2,524,000"
2017.07.13,"2,528,000"
2017.07.12,"2,494,000"
2017.07.11,"2,450,000"
2017.07.10,"2,433,000"
2017.07.07,"2,393,000"
2017.07.06,"2,403,000"
2017.07.05,"2,379,000"
2017.07.04,"2,350,000"
2017.07.03,"2,361,000"
2017.06.30,"2,377,000"
2017.06.29,"2,397,000"
2017.06.28,"2,385,000"
2017.06.27,"2,415,000"
2017.06.26,"2,414,000"
2017.06.23,"2,381,000"
2017.06.22,"2,398,000"
2017.06.21,"2,374,000"
2017.06.20,"2,407,000"
2017.06.19,"2,328,000"
2017.06.16,"2,279,000"
2017.06.15,"2,284,000"
2017.06.14,"2,268,000"
2017.06.13,"2,270,000"
2017.06.12,"2,269,000"
2017.06.09,"2,305,000"
2017.06.08,"2,258,000"
2017.06.07,"2,265,000"
2017.06.05,"2,297,000"
2017.06.02,"2,298,000"
2017.06.01,"2,234,000"
2017.05.31,"2,235,000"
2017.05.30,"2,232,000"
2017.05.29,"2,281,000"
2017.05.26,"2,304,000"
2017.05.25,"2,284,000"
2017.05.24,"2,244,000"
2017.05.23,"2,246,000"
2017.05.22,"2,255,000"
2017.05.19,"2,236,000"
2017.05.18,"2,297,000"
2017.05.17,"2,317,000"
2017.05.16,"2,319,000"
2017.05.15,"2,305,000"
2017.05.12,"2,291,000"
2017.05.11,"2,275,000"
2017.05.10,"2,280,000"
2017.05.08,"2,351,000"
2017.05.04,"2,276,000"
2017.05.02,"2,245,000"
2017.04.28,"2,231,000"
2017.04.27,"2,192,000"
2017.04.26,"2,140,000"
2017.04.25,"2,135,000"
2017.04.24,"2,062,000"
2017.04.21,"2,038,000"
2017.04.20,"2,014,000"
2017.04.19,"2,045,000"
2017.04.18,"2,075,000"
2017.04.17,"2,078,000"
2017.04.14,"2,101,000"
2017.04.13,"2,121,000"
2017.04.12,"2,095,000"
2017.04.11,"2,080,000"
2017.04.10,"2,097,000"
2017.04.07,"2,080,000"
2017.04.06,"2,092,000"
2017.04.05,"2,107,000"
2017.04.04,"2,104,000"
2017.04.03,"2,072,000"
2017.03.31,"2,060,000"
2017.03.30,"2,099,000"
2017.03.29,"2,089,000"
2017.03.28,"2,074,000"
2017.03.27,"2,060,000"
2017.03.24,"2,075,000"
2017.03.23,"2,090,000"
2017.03.22,"2,123,000"
2017.03.21,"2,128,000"
2017.03.20,"2,095,000"
2017.03.17,"2,120,000"
2017.03.16,"2,092,000"
2017.03.15,"2,070,000"
2017.03.14,"2,068,000"
2017.03.13,"2,030,000"
2017.03.10,"2,009,000"
2017.03.09,"2,010,000"
2017.03.08,"2,010,000"
2017.03.07,"2,010,000"
2017.03.06,"2,004,000"
2017.03.03,"1,981,000"
2017.03.02,"1,986,000"
2017.02.28,"1,922,000"
2017.02.27,"1,903,000"
2017.02.24,"1,911,000"
2017.02.23,"1,959,000"
2017.02.22,"1,965,000"
2017.02.21,"1,947,000"
2017.02.20,"1,933,000"
2017.02.17,"1,893,000"
2017.02.16,"1,901,000"
2017.02.15,"1,886,000"
2017.02.14,"1,879,000"
2017.02.13,"1,898,000"
2017.02.10,"1,918,000"
2017.02.09,"1,920,000"
2017.02.08,"1,920,000"
2017.02.07,"1,941,000"
2017.02.06,"1,978,000"
2017.02.03,"1,973,000"
2017.02.02,"1,968,000"
2017.02.01,"1,956,000"
2017.01.31,"1,973,000"
2017.01.26,"1,995,000"
2017.01.25,"1,970,000"
2017.01.24,"1,908,000"
2017.01.23,"1,903,000"
2017.01.20,"1,860,000"
2017.01.19,"1,874,000"
2017.01.18,"1,847,000"
2017.01.17,"1,848,000"
2017.01.16,"1,833,000"
2017.01.13,"1,873,000"
2017.01.12,"1,940,000"
2017.01.11,"1,914,000"
2017.01.10,"1,862,000"
2017.01.09,"1,861,000"
2017.01.06,"1,810,000"
2017.01.05,"1,778,000"
2017.01.04,"1,808,000"
